id;description;amount;timestamp;merchant;operation_type;side
1;"Card expense at EDF";-952,40;"2023-11-28 06:35:12";"EDF";"refund";"debit"
2;"Purchase at Amazon.fr";-749,56;"2023-05-16 01:27:52";"Amazon.fr";"transfer";"debit"
3;"Receipt from Darty";184,91;"2023-11-03 11:49:37";"Darty";"refund";"credit"
4;"Incoming transfer";-980,93;"2023-06-23 16:24:44";"La Poste";"direct_debit";"debit"
5;"Outgoing transfer";740,58;"2024-01-20 01:41:47";"Auchan";"refund";"credit"
6;"Invoice from Uber";397,47;"2023-04-15 19:11:39";"Uber";"payment";"credit"
7;"Subscription to Air France";-839,05;"2023-04-11 07:30:35";"Air France";"transfer";"debit"
8;"Purchase at Air France";-1148,84;"2023-01-05 12:44:46";"Air France";"payment";"debit"
9;"Subscription to EDF";-1452,77;"2023-05-19 23:41:32";"EDF";"refund";"debit"
10;"Refund from Carrefour";4601,21;"2023-04-18 10:50:15";"Carrefour";"refund";"credit"
11;"Outgoing transfer";-794,47;"2023-09-15 15:22:46";"Auchan";"transfer";"debit"
12;"Online payment";-1955,01;"2023-01-14 05:21:22";"Leclerc";"direct_debit";"debit"
13;"Receipt from Carrefour";-1669,75;"2023-05-27 22:48:58";"Carrefour";"payment";"debit"
14;"Card expense at EDF";-1639,41;"2023-07-12 22:46:12";"EDF";"direct_debit";"debit"
15;"Subscription to Transilien";-36,33;"2024-03-23 15:13:54";"Transilien";"payment";"debit"
16;"Refund from Air France";-232,15;"2023-05-23 12:32:16";"Air France";"transfer";"debit"
17;"Outgoing transfer";-1685,94;"2024-04-09 08:09:39";"SFR";"direct_debit";"debit"
18;"Receipt from Fnac";2854,72;"2023-02-26 18:16:27";"Fnac";"payment";"credit"
19;"Incoming transfer";1934,61;"2023-03-24 18:55:33";"Bouygues";"direct_debit";"credit"
20;"Refund from Franprix";-1253,14;"2024-02-20 19:52:27";"Franprix";"transfer";"debit"
21;"Subscription to Veolia";-1609,54;"2024-01-13 13:31:39";"Veolia";"refund";"debit"
22;"Card expense at Systeme U";-752,96;"2024-01-13 10:32:24";"Systeme U";"transfer";"debit"
23;"Receipt from Air France";-504,65;"2024-03-17 17:26:41";"Air France";"direct_debit";"debit"
24;"Refund from Lidl";-1225,15;"2023-03-04 07:17:48";"Lidl";"transfer";"debit"
25;"Refund from Auchan";-1592,83;"2024-03-02 18:59:47";"Auchan";"refund";"debit"
26;"Purchase at Monoprix";3652,91;"2023-02-25 07:31:52";"Monoprix";"refund";"credit"
27;"Online payment";-1033,49;"2023-06-20 08:07:53";"Deliveroo";"payment";"debit"
28;"Outgoing transfer";-27,40;"2023-01-25 03:26:07";"EDF";"payment";"debit"
29;"Receipt from EDF";3364,18;"2023-09-15 20:00:50";"EDF";"payment";"credit"
30;"Incoming transfer";-353,71;"2024-02-22 13:12:03";"Veolia";"refund";"debit"
31;"Refund from Auchan";-1613,54;"2023-01-21 23:09:02";"Auchan";"transfer";"debit"
32;"Purchase at Leclerc";4739,38;"2023-01-30 12:06:47";"Leclerc";"direct_debit";"credit"
33;"Card expense at SFR";-1296,26;"2023-01-24 02:02:17";"SFR";"refund";"debit"
